NR_TURNO,SG_UF,SG_UE,NM_MUNICIPIO,NR_ZONA,DS_CARGO,NM_CANDIDATO,NM_URNA_CANDIDATO,SG_PARTIDO,NM_PARTIDO,DS_COMPOSICAO_COLIGACAO,QT_VOTOS_NOMINAIS,QT_VOTOS_NOMINAIS_VALIDOS,DS_SIT_TOT_TURNO
1,PR,77356,PALMEIRA,13,Prefeito,ODAIR JOSE SANSON JUNIOR,ODAIR JUNIOR ,PMB,Partido da Mulher Brasileira,PMB / PP,2753,2753,NÃO ELEITO
1,GO,92770,BURITI ALEGRE,5,Prefeito,CLAYTON FERREIRA DE CARVALHO,CLAYTON CARVALHO,PP,PROGRESSISTAS,MDB / PP / UNIÃO / SOLIDARIEDADE,2428,2428,NÃO ELEITO
1,PE,26050,TIMBAÚBA,36,Prefeito,JEFFERSON LUIZ FIGUEIREDO LEAL,DR JEFFERSON DENTISTA,UNIÃO,União Brasil,MDB / PL / UNIÃO,7117,7117,NÃO ELEITO
1,MG,41017,BAMBUÍ,21,Prefeito,RONALDO DE OLIVEIRA,RONALDO,PT,Partido dos Trabalhadores,Federação BRASIL DA ESPERANÇA - FE BRASIL(PT/PC do B/PV) / Federação PSOL REDE(PSOL/REDE),2235,2235,NÃO ELEITO
1,MG,41459,BOCAIÚVA,44,Prefeito,PEDRO NEVES DOS SANTOS,PEDRO CEROL,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS / PDT / PODE / SOLIDARIEDADE,4854,4854,NÃO ELEITO
1,RS,87432,MATA,69,Prefeito,MAURICIO TASCHETTO,MAURICIO TASCHETTO,PP,PROGRESSISTAS,UNIÃO / PP,1636,1636,NÃO ELEITO
1,SP,70556,SANTO ANASTÁCIO,117,Prefeito,JAIR MONTANHERI MARQUES,JAIR DA PIRÂMIDE,PP,PROGRESSISTAS,PP / PDT,433,433,NÃO ELEITO
1,CE,98558,UMIRIM,23,Prefeito,FRANCISCO JOSE SOUSA,DEDÉ DA AMBULÂNCIA,MDB,Movimento Democrático Brasileiro,MDB / PP,5549,5549,NÃO ELEITO
1,RN,16993,JANDAÍRA,62,Prefeito,RICARDO PAULINO BEZERRA,RICARDO PAULINO,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS / Federação PSDB CIDADANIA(PSDB/CIDADANIA),1882,1882,NÃO ELEITO
1,SP,68233,PARDINHO,26,Prefeito,AIRES NELSON MERLINI,AIRES,UNIÃO,União Brasil,PODE / UNIÃO,277,277,NÃO ELEITO
1,TO,95290,COLMÉIA,16,Prefeito,ELZIVAN NORONHA RODRIGUES SILVA,ELZIVAN NORONHA,UNIÃO,União Brasil,UNIÃO / Federação PSDB CIDADANIA(PSDB/CIDADANIA) / AGIR / PDT,2435,2435,NÃO ELEITO
1,MG,41025,MÁRIO CAMPOS,288,Prefeito,DOUGLAS JUNIOR CAMPOS,DOUGLAS CAMPOS,NOVO,Partido Novo,NOVO / PL / REPUBLICANOS,3905,3905,NÃO ELEITO
1,PE,23558,BUÍQUE,60,Prefeito,JOOBSON CAMELO DOS SANTOS,JOBSON CAMELO,REPUBLICANOS,REPUBLICANOS,PP / REPUBLICANOS / PL / PSB,13062,13062,NÃO ELEITO
1,PB,20001,SANTA CECÍLIA,18,Prefeito,ROBERTO FLORENTINO PESSOA,BETO DE CHICO,UNIÃO,União Brasil,UNIÃO / Federação PSDB CIDADANIA(PSDB/CIDADANIA),3135,3135,NÃO ELEITO
1,RJ,58874,RIO CLARO,108,Prefeito,DANIEL PEREIRA BARBOSA,DR DANIEL,UNIÃO,União Brasil,PRD / MOBILIZA / UNIÃO,2695,2695,NÃO ELEITO
1,PR,79731,TAPIRA,127,Prefeito,LUÍS WANDERLEY GAZOTO,GAZOTO,PL,Partido Liberal,PDT / PL,1558,1558,NÃO ELEITO
1,RN,16519,CEARÁ-MIRIM,6,Prefeito,JUMARIA SOUZA FERNANDES DE OLIVEIRA MOTA,JUMÁRIA,REPUBLICANOS,REPUBLICANOS,REPUBLICANOS / MDB,7031,7031,NÃO ELEITO
1,MS,90611,CORGUINHO,40,Prefeito,RENATA CANHETE,RENATA CANHETE,PSDB,Partido da Social Democracia Brasileira,Federação PSDB CIDADANIA(PSDB/CIDADANIA) / UNIÃO / PSD,1484,1484,NÃO ELEITO
1,SP,66036,JARDINÓPOLIS,204,Prefeito,AMAURI PEGORARO,AMAURI PEGORARO,PP,PROGRESSISTAS,PP / AVANTE / PSD,4871,4871,NÃO ELEITO
