Territorialidades,Taxa de Educacao 2010
Boa Ventura de São Roque (PR),88.22
Boa Ventura (PB),70.67
Boa Viagem (CE),67.43
Boa Vista da Aparecida (PR),84.47
Boa Vista das Missões (RS),91.0
Boa Vista do Buricá (RS),98.12
Boa Vista do Cadeado (RS),94.43
Boa Vista do Gurupi (MA),76.26
Boa Vista do Incra (RS),94.99
Boa Vista do Ramos (AM),92.03
Boa Vista do Sul (RS),92.64
Boa Vista do Tupim (BA),69.7
Boa Vista (PB),83.99
Boa Vista (RR),94.17
Boca da Mata (AL),72.68
Boca do Acre (AM),72.96
Bocaina de Minas (MG),82.34
Bocaina do Sul (SC),88.74
Bocaina (PI),77.14
Bocaina (SP),93.63
Bocaiúva do Sul (PR),90.95
Bocaiúva (MG),87.51
Bodocó (PE),70.09
Bodoquena (MS),89.19
Bodó (RN),75.14
Bofete (SP),91.88
Boituva (SP),95.07
Bombinhas (SC),96.54
Bom Conselho (PE),65.95
Bom Despacho (MG),94.16
Bom Jardim da Serra (SC),91.61
Bom Jardim de Goiás (GO),83.58
Bom Jardim de Minas (MG),88.2
Bom Jardim (MA),68.21
Bom Jardim (PE),69.86
Bom Jardim (RJ),89.26
Bom Jesus da Lapa (BA),80.82
Bom Jesus da Penha (MG),88.9
Bom Jesus da Serra (BA),72.85
Bom Jesus das Selvas (MA),72.65
Bom Jesus de Goiás (GO),88.96
Bom Jesus do Amparo (MG),89.97
Bom Jesus do Araguaia (MT),89.5
Bom Jesus do Galho (MG),81.52
Bom Jesus do Itabapoana (RJ),90.24
Bom Jesus do Norte (ES),90.85
Bom Jesus do Oeste (SC),92.84
Bom Jesus dos Perdões (SP),93.65
Bom Jesus do Sul (PR),89.9
Bom Jesus do Tocantins (PA),78.86
Bom Jesus do Tocantins (TO),85.02
Bom Jesus (PB),74.84
Bom Jesus (PI),81.83
Bom Jesus (RN),67.95
Bom Jesus (RS),92.09
Bom Jesus (SC),89.45
Bom Lugar (MA),67.89
Bom Princípio do Piauí (PI),65.64
Bom Princípio (RS),98.28
Bom Progresso (RS),89.79
Bom Repouso (MG),89.15
Bom Retiro do Sul (RS),96.58
Bom Retiro (SC),89.8
Bom Sucesso de Itararé (SP),88.67
Bom Sucesso do Sul (PR),98.14
Bom Sucesso (MG),87.7
Bom Sucesso (PB),69.06
Bom Sucesso (PR),86.3
Bonfim do Piauí (PI),66.77
Bonfim (MG),87.45
Bonfim (RR),86.74
Bonfinópolis de Minas (MG),87.24
Bonfinópolis (GO),89.29
Boninal (BA),77.98
Bonito (BA),79.68
Bonito de Minas (MG),72.85
Bonito de Santa Fé (PB),70.74
Bonito (MS),90.69
Bonito (PA),78.2
Bonito (PE),68.4
Bonópolis (GO),81.19
Boqueirão do Leão (RS),89.23
Boqueirão do Piauí (PI),67.2
Boqueirão (PB),75.92
Boquim (SE),75.81
Boquira (BA),74.19
Boracéia (SP),92.36
Borá (SP),90.42
Borba (AM),84.2
Borborema (PB),67.44
Borborema (SP),91.84
Borda da Mata (MG),91.77
Borebi (SP),90.75
Borrazópolis (PR),88.25
Bossoroca (RS),92.04
Botelhos (MG),90.83
Botucatu (SP),95.89
Botumirim (MG),83.07
Botuporã (BA),73.68
Botuverá (SC),94.15
Bozano (RS),94.84
Braço do Norte (SC),96.46
